id,isResult,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,datetime,forecast_w,forecast_d,forecast_l
16541,True,79,Norwich,NOR,71,Aston Villa,AVL,0,2,0.502647,1.96261,2021-12-14 19:45:00,0.0307,0.1634,0.8059
16545,True,88,Manchester City,MCI,245,Leeds,LED,7,0,3.31349,0.227498,2021-12-14 20:00:00,0.9625,0.0336,0.0039
16538,True,220,Brighton,BRI,229,Wolverhampton Wanderers,WOL,0,1,1.20118,1.11736,2021-12-15 19:30:00,0.3704,0.3352,0.2944
16542,True,78,Crystal Palace,CRY,74,Southampton,SOU,2,2,1.49244,0.625183,2021-12-15 19:30:00,0.6182,0.2522,0.1296
16536,True,83,Arsenal,ARS,81,West Ham,WHU,2,0,2.81482,0.338855,2021-12-15 20:00:00,0.9307,0.0568,0.0125
16543,True,80,Chelsea,CHE,72,Everton,EVE,1,1,3.20239,0.627528,2021-12-16 19:45:00,0.9086,0.0747,0.0167
16544,True,87,Liverpool,LIV,86,Newcastle United,NEW,3,1,2.93912,0.2064,2021-12-16 20:00:00,0.9714,0.0264,0.0022
16548,True,245,Leeds,LED,83,Arsenal,ARS,1,4,1.31408,3.69008,2021-12-18 17:30:00,0.0393,0.0919,0.8688
16555,True,229,Wolverhampton Wanderers,WOL,80,Chelsea,CHE,0,0,0.321371,0.793952,2021-12-19 14:00:00,0.1252,0.4072,0.4676
16550,True,86,Newcastle United,NEW,88,Manchester City,MCI,0,4,0.174208,3.64686,2021-12-19 14:15:00,0.0004,0.0108,0.9888
16552,True,82,Tottenham,TOT,87,Liverpool,LIV,2,2,2.79777,1.54944,2021-12-19 16:30:00,0.6918,0.1901,0.1181
16560,True,88,Manchester City,MCI,75,Leicester,LEI,6,3,3.82869,2.43425,2021-12-26 15:00:00,0.7058,0.1626,0.1316
16562,True,79,Norwich,NOR,83,Arsenal,ARS,0,5,0.154212,2.87539,2021-12-26 15:00:00,0.0023,0.0273,0.9704
16563,True,82,Tottenham,TOT,78,Crystal Palace,CRY,3,0,2.82148,0.178324,2021-12-26 15:00:00,0.9536,0.0398,0.0066
