Dátum,Meccs-Id,Hazai-Id,Hazai-Csapat,Ellenfél-Id,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-XG,Ellenfél-XG
2020-08-26 15:30:00,14033,183,Spartak Moscow,258,FC Rotor Volgograd,1,0,,,2.81689,0.946118
2020-08-29 15:00:00,14038,183,Spartak Moscow,200,Arsenal Tula,2,1,,,1.00804,0.45495
2020-09-13 16:00:00,14230,183,Spartak Moscow,185,CSKA Moscow,1,3,,,0.777525,0.85
2020-09-20 13:30:00,14238,183,Spartak Moscow,186,Rubin Kazan,2,0,,,0.307787,1.68725
2020-09-26 11:00:00,14241,183,Spartak Moscow,237,FC Tambov,2,0,,,0.647471,0.508339
2020-10-03 16:00:00,14300,183,Spartak Moscow,189,Zenit St. Petersburg,1,1,,,1.724,1.8535
2020-10-17 16:00:00,14311,183,Spartak Moscow,257,Khimki,3,2,,,2.46067,1.65828
2020-10-24 16:00:00,14318,183,Spartak Moscow,196,FC Krasnodar,3,1,,,1.22856,1.69185
2020-10-31 13:30:00,14325,183,Spartak Moscow,187,FC Rostov,0,1,,,1.08726,0.281502
2020-11-07 11:00:00,14330,183,Spartak Moscow,198,Ural,2,2,,,3.07048,0.950467
2020-11-21 16:00:00,14341,183,Spartak Moscow,190,Dinamo Moscow,1,1,,,0.914731,0.48884
2020-11-29 16:00:00,14352,183,Spartak Moscow,258,FC Rotor Volgograd,2,0,,,2.19857,0.810802
2020-12-05 13:30:00,14355,183,Spartak Moscow,237,FC Tambov,5,1,,,3.85838,0.591488
2020-12-12 13:30:00,14364,183,Spartak Moscow,236,PFC Sochi,0,1,,,1.84615,0.732439
2020-12-16 17:00:00,14376,183,Spartak Moscow,189,Zenit St. Petersburg,1,3,,,0.132915,2.61976
2021-02-28 11:00:00,14378,183,Spartak Moscow,186,Rubin Kazan,0,2,,,0.415439,1.2972
2021-03-07 16:00:00,14386,183,Spartak Moscow,196,FC Krasnodar,6,1,,,3.47083,1.75872
2021-03-13 16:00:00,14393,183,Spartak Moscow,190,Dinamo Moscow,2,1,,,1.41844,1.38983
2021-03-18 16:00:00,14406,183,Spartak Moscow,198,Ural,5,1,,,2.73501,1.0439
2021-04-04 16:00:00,14413,183,Spartak Moscow,187,FC Rostov,3,2,,,2.18534,0.388998
2021-04-11 16:00:00,14421,183,Spartak Moscow,192,Lokomotiv Moscow,0,2,,,1.00703,1.44862
2021-04-18 16:00:00,14430,183,Spartak Moscow,184,FC Ufa,0,3,,,0.478369,3.53848
2021-04-25 13:30:00,14439,183,Spartak Moscow,185,CSKA Moscow,1,0,,,1.82786,0.203641
2021-05-03 13:30:00,14446,183,Spartak Moscow,200,Arsenal Tula,2,1,,,1.15945,0.551701
2021-05-10 16:00:00,14456,183,Spartak Moscow,257,Khimki,2,1,,,2.18124,0.511932
2021-05-16 11:00:00,14460,183,Spartak Moscow,188,FK Akhmat,2,2,,,1.71472,0.960673
2021-07-24 19:00:00,16139,183,Spartak Moscow,186,Rubin Kazan,0,1,,,1.04628,0.457284
2021-07-30 16:00:00,16144,183,Spartak Moscow,194,Krylya Sovetov Samara,1,0,,,2.58536,0.276455
2021-08-07 17:00:00,16155,183,Spartak Moscow,263,Nizhny Novgorod,1,2,,,1.31048,0.903656
2021-08-14 14:30:00,16160,183,Spartak Moscow,198,Ural,1,0,,,1.1382,0.216952
2021-08-21 13:00:00,16171,183,Spartak Moscow,200,Arsenal Tula,1,1,,,1.12997,0.37102
2021-08-26 15:30:00,16183,183,Spartak Moscow,236,PFC Sochi,1,2,,,1.2674,1.01589
2021-09-11 16:00:00,16185,183,Spartak Moscow,257,Khimki,3,1,,,1.57417,0.479197
2021-09-20 16:30:00,16193,183,Spartak Moscow,185,CSKA Moscow,0,1,,,1.02748,0.517386
2021-09-25 16:00:00,16201,183,Spartak Moscow,184,FC Ufa,2,0,,,1.73159,0.729729
2021-10-03 16:00:00,16212,183,Spartak Moscow,188,FK Akhmat,1,0,,,1.18919,0.226685
2021-10-16 16:00:00,16216,183,Spartak Moscow,190,Dinamo Moscow,2,2,,,1.71253,1.20168
2021-10-24 16:00:00,16224,183,Spartak Moscow,189,Zenit St. Petersburg,1,7,,,0.587668,5.22781
2021-10-30 13:30:00,16233,183,Spartak Moscow,187,FC Rostov,1,1,,,0.895275,0.967262
2021-11-07 16:00:00,16240,183,Spartak Moscow,192,Lokomotiv Moscow,1,1,,,0.444956,1.18269
