-3.6,-3.5,-3.4,-3.2,-3.0,-2.9,-2.8,-2.7,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,-0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.2,3.4,3.5,3.6
,,,,,,,,,,56%,,67%,58%,56%,42%,33%,51%,35%,49%,47%,33%,33%,51%,26%,30%,33%,37%,26%,37%,37%,33%,33%,37%,35%,26%,19%,30%,19%,40%,28%,21%,28%,28%,21%,5%,16%,19%,26%,16%,23%,14%,19%,14%,21%,9%,16%,,7%,,,,,,,,,,
,,,,,,,,,,55%,,68%,59%,55%,43%,34%,50%,34%,48%,48%,32%,34%,50%,25%,30%,34%,39%,25%,36%,36%,32%,32%,39%,34%,27%,18%,30%,18%,39%,27%,20%,27%,27%,20%,5%,16%,18%,25%,16%,23%,14%,18%,14%,20%,11%,16%,,7%,,,,,,,,,,
,,,,,,,,,,56%,,69%,60%,53%,44%,33%,51%,36%,47%,47%,31%,36%,49%,24%,31%,36%,40%,24%,38%,36%,31%,31%,38%,33%,29%,18%,29%,18%,38%,29%,20%,29%,29%,20%,7%,16%,18%,24%,16%,22%,13%,18%,13%,20%,13%,16%,,7%,,,,,,,,,,
,,,,,,,,,,57%,,70%,61%,54%,46%,35%,52%,37%,48%,48%,30%,35%,50%,26%,33%,37%,39%,26%,37%,35%,30%,30%,37%,35%,28%,17%,28%,17%,37%,28%,20%,30%,28%,20%,7%,15%,17%,24%,15%,22%,13%,17%,15%,22%,13%,15%,,7%,,,,,,,,,,
,,,,,,,,,,57%,,68%,62%,53%,45%,34%,51%,38%,47%,47%,30%,34%,51%,26%,34%,38%,38%,28%,36%,36%,32%,30%,38%,36%,30%,17%,30%,17%,36%,28%,19%,30%,28%,19%,9%,15%,17%,23%,15%,21%,13%,17%,15%,21%,15%,15%,,6%,,,,,,,,,,
,,,,,,,,,,58%,,69%,62%,54%,44%,35%,52%,38%,46%,48%,29%,35%,50%,25%,33%,40%,38%,27%,35%,35%,31%,29%,38%,38%,29%,17%,29%,19%,35%,27%,19%,31%,27%,21%,8%,15%,17%,23%,15%,21%,12%,17%,15%,21%,15%,15%,,6%,,,,,,,,,,
,,,,,,,,,,59%,,67%,63%,53%,45%,35%,53%,39%,47%,49%,29%,37%,49%,27%,35%,39%,39%,29%,35%,35%,31%,29%,37%,37%,29%,18%,29%,20%,35%,29%,18%,33%,27%,20%,10%,14%,16%,22%,14%,22%,12%,16%,14%,20%,14%,14%,,8%,,,,,,,,,,
,,,,,,,,,,60%,,68%,62%,52%,44%,36%,52%,38%,48%,48%,30%,36%,48%,26%,34%,40%,38%,28%,34%,34%,30%,28%,36%,36%,28%,18%,28%,20%,34%,28%,18%,32%,26%,22%,10%,14%,16%,22%,14%,22%,12%,16%,14%,20%,14%,14%,,8%,,,,,,,,,,
,,,,,,,,,,59%,,69%,61%,53%,43%,37%,51%,37%,47%,47%,29%,35%,47%,27%,35%,41%,39%,27%,33%,35%,29%,29%,35%,35%,27%,18%,29%,20%,35%,27%,18%,33%,25%,22%,10%,16%,16%,24%,14%,24%,12%,16%,14%,20%,14%,14%,,8%,,,,,,,,,,
,,,,,,,,,,60%,,69%,60%,52%,42%,37%,50%,38%,46%,46%,31%,37%,46%,29%,35%,42%,38%,27%,35%,37%,31%,31%,37%,35%,27%,17%,29%,21%,35%,27%,19%,33%,25%,23%,10%,15%,15%,23%,13%,23%,12%,15%,13%,19%,13%,13%,,8%,,,,,,,,,,
,,,,,,,,,,,,68%,60%,51%,43%,38%,51%,40%,45%,47%,30%,36%,45%,28%,36%,42%,40%,26%,34%,36%,30%,30%,36%,34%,26%,17%,28%,23%,34%,26%,19%,32%,25%,23%,9%,15%,15%,23%,13%,23%,11%,15%,13%,19%,13%,13%,,8%,,,,,,,,,,
,,,,,,,,,,,,69%,59%,52%,43%,39%,50%,39%,46%,48%,30%,35%,46%,28%,37%,41%,39%,26%,33%,35%,30%,30%,35%,33%,26%,17%,28%,24%,33%,28%,20%,33%,24%,24%,9%,17%,15%,22%,13%,24%,11%,15%,13%,20%,13%,13%,,7%,,,,,,,,,,
,,,,,,,,,,,,69%,60%,53%,42%,40%,51%,38%,47%,49%,31%,36%,47%,29%,36%,42%,38%,25%,33%,35%,31%,29%,36%,35%,25%,16%,27%,25%,33%,27%,20%,33%,24%,24%,9%,16%,15%,22%,13%,25%,13%,15%,13%,20%,13%,13%,,7%,,,,,,,,,,
,,,,,,,,,,,,70%,59%,54%,41%,39%,52%,38%,46%,48%,30%,38%,48%,29%,38%,43%,39%,25%,34%,34%,32%,29%,38%,34%,25%,16%,27%,27%,32%,29%,21%,32%,23%,23%,9%,18%,16%,21%,12%,25%,12%,16%,12%,21%,14%,12%,,7%,,,,,,,,,,
,,,,,,,,,,,,70%,60%,54%,40%,40%,51%,39%,47%,49%,30%,37%,47%,28%,37%,42%,40%,26%,33%,33%,33%,28%,39%,33%,25%,16%,28%,26%,33%,28%,23%,32%,23%,25%,9%,18%,16%,21%,12%,25%,14%,16%,12%,21%,14%,12%,,7%,,,,,,,,,,
,,,,,,,,,,,,69%,60%,53%,40%,40%,52%,38%,47%,48%,31%,36%,48%,29%,38%,41%,41%,28%,33%,34%,34%,28%,38%,33%,24%,16%,28%,26%,33%,29%,24%,33%,22%,24%,9%,17%,16%,21%,12%,24%,14%,16%,12%,22%,14%,12%,,,,,,,,,,,,
,,,,,,,,,,,,69%,61%,54%,41%,39%,53%,37%,47%,47%,31%,36%,47%,31%,39%,42%,42%,29%,32%,34%,34%,27%,37%,32%,24%,15%,29%,25%,32%,31%,25%,34%,22%,24%,8%,17%,15%,22%,12%,24%,14%,15%,14%,22%,14%,12%,,,,,,,,,,,,
,,,,,,,,,,,,70%,62%,53%,40%,40%,53%,37%,48%,48%,30%,37%,48%,32%,38%,42%,43%,30%,32%,35%,35%,28%,37%,32%,23%,17%,30%,27%,32%,30%,25%,33%,22%,23%,8%,17%,15%,23%,12%,23%,13%,15%,13%,22%,13%,12%,,,,,,,,,,,,
,,,,,,,,,,,,70%,61%,52%,41%,39%,52%,36%,48%,48%,31%,36%,49%,33%,39%,41%,44%,31%,31%,34%,34%,28%,38%,31%,25%,16%,31%,26%,31%,30%,25%,33%,21%,25%,8%,16%,15%,23%,13%,25%,15%,15%,13%,23%,13%,11%,,,,,,,,,,,,
,,,,,,,,,,,,71%,61%,53%,40%,39%,52%,35%,47%,47%,31%,37%,48%,34%,39%,40%,44%,31%,31%,34%,34%,27%,37%,31%,26%,16%,31%,26%,32%,29%,24%,32%,21%,26%,10%,16%,15%,23%,13%,24%,15%,15%,13%,23%,13%,,,,,,,,,,,,,
,,,,,,,,,,,,71%,62%,54%,41%,40%,51%,35%,46%,48%,30%,37%,48%,33%,40%,40%,44%,32%,30%,33%,33%,27%,38%,30%,25%,17%,30%,25%,33%,29%,24%,32%,21%,25%,10%,17%,14%,22%,13%,25%,14%,14%,13%,22%,13%,,,,,,,,,,,,,
,,,,,,,,,,,,,62%,53%,42%,41%,50%,34%,47%,47%,31%,38%,47%,34%,39%,41%,44%,31%,30%,33%,33%,27%,38%,30%,25%,17%,31%,27%,33%,28%,23%,31%,22%,25%,11%,17%,14%,22%,12%,27%,14%,14%,12%,23%,12%,,,,,,,,,,,,,
,,,,,,,,,,,,,62%,52%,43%,42%,51%,34%,46%,48%,32%,38%,46%,35%,38%,40%,43%,32%,29%,32%,32%,28%,37%,29%,25%,17%,31%,26%,32%,29%,23%,31%,22%,25%,12%,17%,14%,22%,12%,26%,14%,14%,12%,23%,12%,,,,,,,,,,,,,
,,,,,,,,,,,,,61%,53%,44%,42%,50%,33%,47%,48%,33%,39%,47%,35%,38%,39%,42%,32%,29%,32%,32%,27%,38%,29%,24%,17%,30%,26%,32%,29%,23%,30%,23%,24%,12%,17%,14%,23%,12%,26%,15%,15%,12%,24%,12%,,,,,,,,,,,,,
,,,,,,,,,,,,,60%,54%,43%,42%,49%,34%,48%,48%,33%,40%,48%,36%,37%,39%,42%,31%,30%,33%,33%,27%,37%,28%,25%,16%,30%,25%,31%,28%,22%,30%,22%,24%,13%,16%,13%,22%,12%,25%,16%,15%,12%,24%,13%,,,,,,,,,,,,,
,,,,,,,,,,,,,60%,54%,44%,43%,50%,35%,49%,47%,34%,40%,47%,35%,37%,38%,43%,32%,31%,34%,34%,28%,37%,28%,25%,16%,29%,26%,31%,28%,22%,29%,24%,24%,13%,16%,13%,22%,12%,25%,16%,16%,13%,25%,13%,,,,,,,,,,,,,
,,,,,,,,,,,,,59%,54%,43%,43%,51%,35%,48%,46%,33%,39%,46%,35%,38%,38%,43%,32%,30%,35%,35%,28%,36%,29%,25%,16%,29%,28%,30%,29%,22%,29%,23%,25%,13%,16%,13%,22%,12%,25%,17%,16%,13%,26%,14%,,,,,,,,,,,,,
,,,,,,,,,,,,,60%,54%,43%,44%,51%,34%,49%,47%,34%,40%,46%,34%,37%,37%,43%,31%,31%,34%,34%,29%,36%,29%,24%,16%,30%,27%,31%,29%,23%,30%,23%,26%,14%,16%,13%,23%,11%,24%,19%,16%,13%,26%,14%,,,,,,,,,,,,,
