-2.9,-2.8,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0
,,,,,,,,,,,,,28%,25%,22%,24%,33%,26%,25%,36%,24%,26%,32%,30%,32%,22%,32%,26%,17%,26%,29%,28%,26%,25%,28%,25%,29%,26%,22%,30%,33%,24%,25%,29%,26%,22%,26%,,,,,,,,,,,
,,,,,,,,,,,,,27%,25%,22%,25%,32%,27%,25%,35%,23%,27%,31%,30%,31%,22%,31%,26%,17%,26%,29%,27%,26%,25%,27%,25%,30%,27%,23%,30%,32%,23%,26%,29%,26%,23%,,,,,,,,,,,,
,,,,,,,,,,,,,27%,24%,22%,26%,33%,27%,24%,35%,23%,27%,31%,29%,31%,22%,31%,26%,17%,27%,28%,27%,26%,26%,27%,24%,31%,28%,23%,29%,32%,23%,26%,29%,26%,23%,,,,,,,,,,,,
,,,,,,,,,,,,,28%,25%,23%,25%,33%,28%,24%,34%,23%,27%,32%,30%,30%,22%,30%,25%,18%,27%,28%,27%,25%,25%,27%,25%,30%,28%,23%,29%,32%,23%,27%,29%,,23%,,,,,,,,,,,,
,,,,,,,,,,,,,28%,25%,24%,25%,32%,28%,24%,34%,22%,26%,31%,31%,30%,21%,30%,25%,18%,26%,28%,26%,25%,26%,26%,26%,31%,28%,22%,29%,31%,22%,26%,29%,,24%,,,,,,,,,,,,
,,,,,,,,,,,,,27%,26%,23%,26%,33%,27%,25%,33%,22%,26%,31%,31%,31%,21%,30%,26%,17%,26%,27%,26%,25%,26%,26%,26%,31%,28%,23%,28%,31%,23%,26%,28%,,23%,,,,,,,,,,,,
,,,,,,,,,,,,,27%,26%,23%,26%,34%,28%,24%,33%,22%,26%,30%,30%,32%,21%,29%,26%,17%,26%,27%,26%,24%,26%,26%,27%,32%,28%,23%,28%,30%,24%,26%,28%,,23%,,,,,,,,,,,,
,,,,,,,,,,,,,27%,25%,23%,25%,34%,29%,25%,33%,23%,25%,30%,30%,33%,20%,29%,25%,17%,27%,28%,25%,24%,25%,25%,27%,31%,28%,23%,28%,30%,24%,27%,29%,,23%,,,,,,,,,,,,
,,,,,,,,,,,,,26%,25%,23%,25%,33%,29%,25%,32%,23%,26%,31%,30%,32%,20%,30%,25%,17%,26%,27%,25%,24%,25%,25%,26%,32%,27%,23%,29%,30%,24%,27%,29%,,23%,,,,,,,,,,,,
,,,,,,,,,,,,,27%,26%,24%,26%,33%,28%,25%,32%,22%,26%,31%,29%,32%,20%,29%,26%,16%,26%,28%,26%,24%,25%,25%,26%,33%,27%,24%,28%,29%,24%,27%,28%,,22%,,,,,,,,,,,,
,,,,,,,,,,,,,,26%,23%,26%,33%,28%,24%,31%,22%,26%,30%,30%,31%,20%,29%,26%,16%,26%,28%,26%,23%,24%,24%,26%,33%,28%,23%,28%,29%,23%,28%,28%,,22%,,,,,,,,,,,,
,,,,,,,,,,,,,,26%,23%,25%,32%,28%,24%,31%,22%,25%,30%,31%,32%,21%,29%,26%,17%,25%,28%,25%,24%,24%,24%,26%,32%,28%,23%,28%,30%,23%,29%,28%,,22%,,,,,,,,,,,,
,,,,,,,,,,,,,,26%,23%,25%,32%,27%,24%,31%,22%,25%,30%,31%,32%,22%,30%,26%,17%,25%,27%,25%,25%,24%,25%,27%,32%,28%,23%,28%,30%,24%,30%,27%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,26%,22%,26%,33%,27%,25%,30%,21%,25%,29%,31%,31%,21%,29%,26%,17%,25%,27%,26%,26%,24%,25%,27%,31%,28%,22%,28%,29%,24%,29%,27%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,26%,22%,27%,32%,27%,24%,31%,22%,24%,29%,31%,32%,22%,29%,26%,17%,24%,27%,26%,26%,23%,24%,28%,31%,28%,22%,28%,29%,23%,30%,27%,,,,,,,,,,,,,,
