Dátum,Meccs-Id,Hazai-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Hazai-PR,Ellenfél-PR,PR-diff,Hazai-xgPR,Ellenfél-xgPR,Hazai-Mixed-PR,Ellenfél-Mixed-PR,H%,D%,A%,ForeCast-W,ForeCast-D,ForeCast-A
2014-11-01 14:30:00,5349,Hannover 96,Eintracht Frankfurt,1,0,1.11725,0.353128,9.4287,9.1721,0.2566,9.3762,9.1714,10.4814,9.6726,,,,0.5805,0.3129,0.1066
2014-11-01 14:30:00,5350,VfB Stuttgart,Wolfsburg,0,4,0.924949,2.69946,9.0911,11.9269,-2.8358,9.5673,10.5485,10.8649,10.5555,,,,0.0589,0.1314,0.8097
2014-11-01 14:30:00,5351,Hamburger SV,Bayer Leverkusen,1,0,1.33863,0.426376,9.4594,9.7497,-0.2903,10.4071,10.2882,10.5120,8.7110,,,,0.6818,0.2405,0.0777
2014-11-01 17:30:00,5352,Bayern Munich,Borussia Dortmund,2,1,2.64367,0.942884,11.6300,9.5165,2.1135,10.6444,11.6093,7.6156,8.9233,,,,0.7832,0.146,0.0708
2014-11-02 14:30:00,5353,Borussia M.Gladbach,Hoffenheim,3,1,2.46276,0.646539,11.5435,10.3382,1.2053,10.8802,9.4245,9.7070,10.2518,,,,0.829,0.1251,0.0459
2014-11-02 16:30:00,5354,FC Cologne,Freiburg,0,1,0.375065,1.46003,9.2886,9.7109,-0.4223,8.3598,10.7213,10.4672,9.9506,,,,0.0548,0.2071,0.7381
2014-11-02 16:30:00,5355,Paderborn,Hertha Berlin,3,1,1.96835,0.925677,10.5904,9.8394,0.7510,9.7893,10.2829,10.6413,10.3961,,,,0.6542,0.2133,0.1325
2014-11-07 19:30:00,5356,Hertha Berlin,Hannover 96,0,2,0.363993,1.09164,9.1117,10.1564,-1.0447,9.8733,9.7858,9.8503,11.0272,,,,0.1017,0.3151,0.5832
2014-11-08 14:30:00,5357,Augsburg,Paderborn,3,0,1.66135,0.968616,10.8400,9.8402,0.9998,10.1765,9.6160,11.0033,10.0643,,,,0.5613,0.2527,0.186
2014-11-08 14:30:00,5358,Hoffenheim,FC Cologne,3,4,1.19994,1.30702,9.7008,9.9260,-0.2252,9.0103,8.7740,9.6412,11.0778,,,,0.2901,0.3221,0.3878
2014-11-08 14:30:00,5359,Bayer Leverkusen,Mainz 05,0,0,2.07319,0.293271,9.4775,9.4332,0.0443,10.4610,8.0349,7.9938,10.5815,,,,0.8326,0.1359,0.0315
2014-11-08 14:30:00,5360,Eintracht Frankfurt,Bayern Munich,0,4,0.222447,3.03467,8.6616,12.1405,-3.4789,8.9578,10.8580,9.8651,7.4231,,,,0.0011,0.018,0.9809
2014-11-08 14:30:00,5361,Freiburg,Schalke 04,2,0,1.62257,0.526997,10.2332,9.7777,0.4555,11.0175,9.1694,10.1990,10.6363,,,,0.6822,0.2199,0.0979
2014-11-08 17:30:00,5362,Werder Bremen,VfB Stuttgart,2,0,0.645076,0.774005,9.5206,8.7343,0.7863,11.0777,9.7427,10.4635,10.4758,,,,0.2541,0.3819,0.364
2014-11-09 14:30:00,5363,Wolfsburg,Hamburger SV,2,0,1.95442,0.488693,11.6850,9.7013,1.9837,10.1731,10.7825,9.9472,11.1203,,,,0.7732,0.165,0.0618
2014-11-09 16:30:00,5364,Borussia Dortmund,Borussia M.Gladbach,1,0,2.28053,0.0335359,10.1482,10.9118,-0.7636,12.5528,9.9367,8.9933,9.6370,,,,0.9356,0.0626,0.0018
2014-11-22 14:30:00,5365,Bayern Munich,Hoffenheim,4,0,2.08656,1.38014,12.4056,9.4357,2.9699,10.2997,9.5686,7.5116,9.5527,,,,0.5406,0.2377,0.2217
2014-11-22 14:30:00,5366,Schalke 04,Wolfsburg,3,2,1.12048,1.23361,10.3795,11.0832,-0.7037,9.4929,9.8496,11.2664,9.3171,,,,0.3087,0.3091,0.3822
2014-11-22 14:30:00,5367,Borussia M.Gladbach,Eintracht Frankfurt,1,3,0.595484,1.73996,9.7243,9.8491,-0.1248,8.9630,9.9315,8.7356,10.7665,,,,0.1005,0.2217,0.6778
2014-11-22 14:30:00,5368,Mainz 05,Freiburg,2,2,1.79109,0.691191,9.5082,10.1582,-0.6500,8.3849,10.6675,10.3815,10.3990,,,,0.7034,0.2132,0.0834
2014-11-22 14:30:00,5369,Hannover 96,Bayer Leverkusen,1,3,0.780087,2.36608,9.3617,10.2722,-0.9105,9.0946,11.1522,10.6290,8.3920,,,,0.0686,0.1608,0.7706
2014-11-22 14:30:00,5370,Paderborn,Borussia Dortmund,2,2,0.638364,1.92358,9.7922,10.1962,-0.4040,9.2467,12.9221,10.3376,8.7200,,,,0.0794,0.1856,0.735
2014-11-22 17:30:00,5371,FC Cologne,Hertha Berlin,1,2,1.12625,0.473541,9.3474,9.6903,-0.3429,8.6086,10.0387,10.3360,10.5921,,,,0.5693,0.3,0.1307
2014-11-23 14:30:00,5372,Hamburger SV,Werder Bremen,2,0,2.60596,1.14769,10.0311,9.1908,0.8403,10.9769,10.8833,11.0856,10.4982,,,,0.7577,0.1609,0.0814
